Probe Name,Class Name,% Samples above Threshold,Avg Count,Min Count,Max Count,%CV,S10.RCC,S11.RCC,S01.RCC,S02.RCC,S03.RCC,S04.RCC,S05 old_12.RCC,S05.RCC,S06.RCC,S07.RCC,S08.RCC,S09.RCC
,,,,,,,Ctla4,Ctla4,Ctr,Ctr,Ctr,Ctr,degraded,Pd1,Pd1,Pd1,Pd1,Ctla4
,,,,,,,,,,,,,,,,,,
A2m,Endogenous,0,17,17,17,0,17,17,17,17,17,17,17,17,17,17,17,17
Abca1,Endogenous,100,1260.34,1040.6,1588.74,12.93,1298.05,1133.25,1228,1040.6,1178.15,1113.94,1446.29,1149.51,1464.23,1234.73,1588.74,1248.61
Abcb1a,Endogenous,100,51.82,29.41,73.64,28.2,62.94,57.05,60.39,47.69,40.16,47.42,29.41,56.65,35.54,37.35,73.64,73.64
Abcg1,Endogenous,100,85.52,60,106.2,15.62,106.2,99.84,77.65,78.42,76.98,60,81.25,91.38,94.43,102.16,78.47,79.5
Abl1,Endogenous,100,54.04,35.99,66.7,16.89,57.69,40.2,53.68,58.28,63.59,50.33,55.72,66.7,61.94,56.02,48.29,35.99
Ada,Endogenous,100,37.34,27.23,43.52,12.6,41.96,27.23,36.43,39.21,32.35,37.74,41.01,34.72,41.63,38.45,33.8,43.52
Adora2a,Endogenous,8.33,17.26,17,20.1,5.19,17,17,17,17,17,17,17,20.1,17,17,17,17
Aicda,Endogenous,0,17,17,17,0,17,17,17,17,17,17,17,17,17,17,17,17
Aire,Endogenous,0,17,17,17,0,17,17,17,17,17,17,17,17,17,17,17,17
Akt3,Endogenous,100,40.69,26.22,61.22,22.66,26.22,37.6,45.06,37.09,41.28,31.94,41.79,61.22,50.77,35.15,35.01,45.19
Alcam,Endogenous,100,410.61,364.35,457.55,8.53,456.28,364.35,367.15,409.03,431.76,392.93,451.14,366.42,433.58,398.76,457.55,398.35
