"","Probe.Name","Pd1.vs..Ctr","P.Value","FDR.adjusted.pvalue.of..Pd1.vs..Ctr","logFC"
"1","Itgam",1.3,0.44704056,1,0.37851162325373
"2","Ikzf1",1.16,0.52137321,1,0.214124805352847
"3","Itgb3",1.1,0.45942375,1,0.137503523749935
"4","Ccl19",1.33,0.30316383,1,0.411426245726465
"5","Cxcr6",-1.06,0.80942321,1,-0.0840642647884746
"6","Itga2b",1.04,0.86625206,1,0.0565835283663675
"7","Il2rg",1.31,0.14851953,1,0.389566811762726
"8","Plaur",1.21,0.56232888,1,0.27500704749987
"9","Gzma",1.19,0.27744114,1,0.250961573533219
"10","Runx1",1.06,0.8380326,1,0.0840642647884746
"11","Hspb2",1.35,0.4689858,1,0.432959407276106
"12","Pik3cg",1.13,0.37995616,1,0.176322772640463
"13","Il3ra",1.04,0.79162633,1,0.0565835283663675
"14","Cyfip2",1.63,0.15365422,1,0.704871964456353
"15","Tlr7",-1.1,0.67044294,1,-0.137503523749935
"16","Mill2",1.42,0.0569846,1,0.505890929729957
"17","Angpt2",1.61,0.13405399,1,0.687060688339892
"18","Pdgfrb",1.38,0.07681286,1,0.464668267003444
"19","Cxcl14",-1.34,0.04850556,1,-0.422233000683048
"20","Mfge8",1.3,0.3286843,1,0.37851162325373
"21","Plau",1.41,0.12122276,1,0.495695162624069
"22","Ly9",1.17,0.36107445,1,0.22650852980868
"23","Thbs1",1.53,0.35795516,1,0.613531652917927
"24","Ltb",1.32,0.58499187,1,0.400537929583729
"25","Cd3d",1.24,0.3426778,1,0.31034012061215
"26","Ccrl2",1.27,0.07273433,1,0.344828496997441
"27","Fos",-1.36,0.45005018,1,-0.443606651475615
"28","Relb",1.21,0.51339436,1,0.27500704749987
"29","Ccr2",1.48,0.31569692,1,0.565597175854225
"30","Mx2",1.03,0.91294873,1,0.0426443374084937
"31","H2-DMb2",1.56,0.42382199,1,0.641546029087524
"32","Itga4",1.32,0.35448065,1,0.400537929583729
"33","Btk",1.07,0.82933462,1,0.0976107966264223
"34","C5ar1",1.26,0.26180381,1,0.333423733725192
"35","Thy1",1.37,0.33893529,1,0.454175893185802
"36","Cd59b",1.07,0.65312219,1,0.0976107966264223
"37","Icosl",1.45,0.29199108,1,0.53605290024021
"38","Tlr5",1.11,0.43204597,1,0.150559676575381
"39","Il34",-1.29,0.06710365,1,-0.367371065648529
"40","Jam3",1.26,0.3846952,1,0.333423733725192
"41","Tlr3",-1.16,0.35871267,1,-0.214124805352847
"42","Icos",1.16,0.26890123,1,0.214124805352847
"43","Il16",1.39,0.13931319,1,0.475084882948783
"44","Dusp4",1,0.99343789,1,0
"45","Fpr2",1.29,0.30328703,1,0.367371065648529
"46","Ccl5",1.39,0.19337937,1,0.475084882948783
"47","Tlr2",1.33,0.12738919,1,0.411426245726465
"48","Clec4n",-1.06,0.54090941,1,-0.0840642647884746
"49","Epcam",-1.12,0.39100221,1,-0.16349873228288
"50","Il22ra1",1,0.98527509,1,0
"51","Flt3l",1.15,0.3191123,1,0.20163386116965
"52","Klrk1",1.12,0.38586009,1,0.16349873228288
"53","Tnfaip3",1.35,0.07705629,1,0.432959407276106
"54","Ticam1",1.09,0.45368922,1,0.124328135002202
"55","Gbp5",1.52,0.17768149,1,0.604071323668861
"56","Cxcl1",1.07,0.86364156,1,0.0976107966264223
"57","Ccl25",-1.07,0.68956876,1,-0.0976107966264223
"58","H2-DMb1",1.01,0.97362661,1,0.0143552929770701
"59","Ccl6",-1.12,0.50360709,1,-0.16349873228288
"60","Oas2",1.1,0.44297042,1,0.137503523749935
"61","Il10ra",1.24,0.24316941,1,0.31034012061215
"62","Cd79b",1.74,0.4198238,1,0.799087306074004
"63","Dll4",1.19,0.33070326,1,0.250961573533219
"64","Ada",1.02,0.77965534,1,0.0285691521967709
"65","Jak3",1.15,0.20216426,1,0.20163386116965
"66","Ppbp",1.35,0.62530893,1,0.432959407276106
"67","G6pdx",1.22,0.3504602,1,0.286881147788162
"68","Slc11a1",1.27,0.20512635,1,0.344828496997441
"69","Smpd3",1.11,0.72757059,1,0.150559676575381
"70","Il1a",-1.24,0.09108012,1,-0.31034012061215
"71","Vhl",-1.04,0.79705447,1,-0.0565835283663675
"72","Ms4a1",1.97,0.3914724,1,0.978195629681652
"73","H2-Q1",1.06,0.80839235,1,0.0840642647884746
"74","Ccl2",1.49,0.17033984,1,0.575312330687437
"75","Akt3",1.15,0.42492521,1,0.20163386116965
"76","Cd14",-1.02,0.92319763,1,-0.0285691521967709
"77","Tlr8",-1.06,0.72301358,1,-0.0840642647884746
"78","Il2rb",1.55,0.16124673,1,0.632268215499513
"79","Ccr5",-1.03,0.90948248,1,-0.0426443374084937
"80","Ncf4",1.22,0.39286187,1,0.286881147788162
"81","Tlr4",1.29,0.23018534,1,0.367371065648529
"82","Pparg",1.14,0.21463449,1,0.189033824390017
"83","Nfatc1",1.02,0.7862761,1,0.0285691521967709
"84","H2-M3",-1.02,0.90496272,1,-0.0285691521967709
